,Author,Title,Poem
34,Emily Dickinson,I Cannot Live With You,"I cannot live with you,
It would be life,
And life is over there
Behind the shelf 
The sexton keeps the key to,
Putting up
Our life, his porcelain,
Like a cup 
Discarded of the housewife,
Quaint or broken;
A newer Sevres pleases,
Old ones crack. 
I could not die with you,
For one must wait
To shut the other's gaze down,
You could not. 
And I, could I stand by
And see you freeze,
Without my right of frost,
Death's privilege? 
Nor could I rise with you,
Because your face
Would put out Jesus'.
That new grace 
Glow plain and foreign
On my homesick eye,
Except that you, than he
Shone closer by."
35,E. E. Cummings,I carry your heart with me,"I carry your heart with me(i carry it in
my heart)i am never without it(anywhere
i go you go,my dear; and whatever is done
by only me is your doing,my darling)
i fear
no fate(for you are my fate,my sweet)i want
no world(for beautiful you are my world,my true)
and it's you are whatever a moon has always meant
and whatever a sun will always sing is you
here is the deepest secret nobody knows
(here is the root of the root and the bud of the bud
and the sky of the sky of a tree called life;which grows
higher than the soul can hope or mind can hide)
and this is the wonder that's keeping the stars apart
i carry your heart(i carry it in my heart)"
36,Maya Angelou,I know why the caged bird sings,"A free bird leaps on the back
Of the wind and floats downstream
Till the current ends and dips his wing
In the orange suns rays
And dares to claim the sky.
But a BIRD that stalks down his narrow cage
Can seldom see through his bars of rage
His wings are clipped and his feet are tied
So he opens his throat to sing.
The caged bird sings with a fearful trill
Of things unknown but longed for still
And his tune is heard on the distant hill for
The caged bird sings of freedom.
The free bird thinks of another breeze
And the trade winds soft through
The sighing trees
And the fat worms waiting on a dawn-bright
Lawn and he names the sky his own.
But a caged BIRD stands on the grave of dreams
His shadow shouts on a nightmare scream
His wings are clipped and his feet are tied
So he opens his throat to sing.
The caged bird sings with
A fearful trill of things unknown
But longed for still and his
Tune is heard on the distant hill
For the caged bird sings of freedom."
37,Anna Akhmatova,I Taught Myself To Live Simply,"I taught myself to live simply and wisely,
to look at the sky and pray to God,
and to wander long before evening
to tire my superfluous worries.
When the burdocks rustle in the ravine
and the yellow-red rowanberry cluster droops
I compose happy verses
about life's decay, decay and beauty.
I come back. The fluffy cat
licks my palm, purrs so sweetly
and the fire flares bright
on the saw-mill turret by the lake.
Only the cry of a stork landing on the roof
occasionally breaks the silence.
If you knock on my door
I may not even hear."
38,William Wordsworth,I Wandered Lonely As A Cloud,"I wandered lonely as a cloud
That floats on high o'er vales and hills,
When all at once I saw a crowd,
A host, of golden daffodils;
Beside the lake, beneath the trees,
Fluttering and dancing in the breeze.
Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance,
Tossing their heads in sprightly dance.
The waves beside them danced, but they
Out-did the sparkling leaves in glee;
A poet could not be but gay,
In such a jocund company!
I gazed—and gazed—but little thought
What wealth the show to me had brought:
For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills,
And dances with the daffodils."
39,Emily Dickinson,If those I loved were lost,"If those I loved were lost
The Crier's voice would tell me --
If those I loved were found
The bells of Ghent would ring --
Did those I loved repose
The Daisy would impel me.
Philip -- when bewildered
Bore his riddle in!"
40,Pablo Neruda,If You Forget Me,"I want you to know
one thing.
You know how this is:
if I look
at the crystal moon, at the red branch
of the slow autumn at my window,
if I touch
near the fire
the impalpable ash
or the wrinkled body of the log,
everything carries me to you,
as if everything that exists,
aromas, light, metals,
were little boats
that sail
toward those isles of yours that wait for me.
Well, now,
if little by little you stop loving me
I shall stop loving you little by little.
If suddenly
you forget me
do not look for me,
for I shall already have forgotten you.
If you think it long and mad,
the wind of banners
that passes through my life,
and you decide
to leave me at the shore
of the heart where I have roots,
remember
that on that day,
at that hour,
I shall lift my arms
and my roots will set off
to seek another land.
But
if each day,
each hour,
you feel that you are destined for me
with implacable sweetness,
if each day a flower
climbs up to your lips to seek me,
ah my love, ah my own,
in me all that fire is repeated,
in me nothing is extinguished or forgotten,
my love feeds on your love, beloved,
and as long as you live it will be in your arms
without leaving mine."
41,Thomas Moore,If You Have Seen,"Good reader! if you e'er have seen,
When Phoebus hastens to his pillow
The mermaids, with their tresses green,
Dancing upon the western billow:
If you have seen, at twilight dim,
When the lone spirit's vesper hymn
Floats wild along the winding shore:
If you have seen, through mist of eve,
The fairy train their ringlets weave,
Glancing along the spangled green;--
If you have seen all this and more,
God bless me! what a deal you've seen!"
42,William Morris,In Arthur's House,"In Arthur's house whileome was I
When happily the time went by
In midmost glory of his days.
He held his court then in a place
Whereof ye shall not find the name
In any story of his fame:
Caerliel good sooth men called it not,
Nor London Town, nor Camelot;
Yet therein had we bliss enow.
--Ah, far off was the overthrow
Of all that Britain praised and loved;
And though among us lightly moved
A love that could but lead to death,
Smooth-skinned he seemed, of rosy breath,
A fear to sting a lady's lip,
No ruin of goodly fellowship,
No shame and death of all things good.
Forgive the old carle's babbling mood;
As here I sit grey-haired and old,
My life gone as a story told,
Ye bid me tell a story too;
And then the evil days and few,
That yet were overlong for me
Rise up so clear I may not see
The pictures of my minstrel lore.
Well hearken! on a day of yore
From prime of morn the court did ride
Amidmost of the summertide
To search the dwellings of the deer
Until the heat of noon was near;
Then slackening speed awhile they went
Adown a ragged thorn-bushed bent
At whose feet grew a tangled wood
Of oak and holly nowise good:
But therethrough with some pain indeed
And rending of the ladies' weed
They won at last, and after found
A space of green-sward grown around
By oak and holly set full close;
And in the midst of it arose
Two goodly sycamores that made
A wide and little sun-pierced shade
About their high boles straight and green:
A fount was new-born there-between,
And running on as clear as glass,
Flowed winding on amid the grass
Until the thick wood swallowed it.
A place for happy folk to sit
While the hot day grew hotter still
Till eve began to work his will.
--So might those happy people think
Who grudged to see the red sun sink
And end another day of bliss
Although no joy tomorn should miss --
They laughed for joy as they drew nigh
The shade and fount: but lo, thereby
A man beside the fountain laid
The while his horse 'twixt sun and shade
Cropped the sweet grass: but little care
Had these of guile or giant's lair,
And scarce a foot before the Queen
Rode Gawain o'er the daisied green
To see what man his pleasure took;
Who rose up in meanwhile and shook
His tangled hair aback, as one
Who e'en but now his sleep hath done.
Rough-head and yellow-haired was he
Great-eyed, as folk have told to me,
And big and stout enow of limb:
As one who thinks no harm he smiled,
And cried out: ""Well met in the wild,
Fair King and Queen; and ye withal
Sweet dames and damsels! Well befal
This day, whereon I see thee nigh,
O Lancelot, before I die!
And surely shall my heart rejoice
Sir Gawain, when I hear thy voice!""
Then Lancelot laughed: ""Thou knowest us then
Full well among a many men?""
""As quoth the lion to the mouse,""
The man said; ""in King Arthur's House
Men are not names of men alone,
But coffers rather of deeds done.""
The Queen smiled blithe of heart, and spake:
""Hast thou done deeds for ladies' sake?""
""Nay Dame,"" he said, ""I am but young;
A little have I lived and sung
And seen thy face this happy noon.""
The King said: ""May we hearken soon
Some merry tale of thee? for I
Am skilled to know men low and high
And deem thee neither churl nor fool.""
Said he, ""My fathers went to school
Where folk are taught a many things,
But not by bliss: men called them kings
In days when kings were near to seek;
But as a long thread waxeth weak,
So is it with our house; and now
I wend me home from oaken bough
Unto a stead where roof and wall
Shall not have over far to fall
When their last day comes.""
As he spake
He reddened: ""Nathless for their sake,
Whom the world loved once, mock not me
O King, if thence I bring to thee
A morsel and a draught of wine,
Though nothing king-like here thou dine.""
Of some kind word King Arthur thought,
But ere he spake the woodman caught
His forest-nag and leapt thereon,
And through the tangled brake was gone.
Then leapt the King down, glad at heart,
Thinking, This day shall not depart
Without some voice from days that were;
And lightly leapt down Guenevere,
And man and maid lay presently
Neath the bee-laden branches high,
And sweet the scent of trodden grass
Amid the blossoms' perfume was.
There long they lay, and little spake,
As folk right loth the calm to break;
Till lo upon the forest-breeze
A noise of folk, and from the trees
They came: the first-seen forester,
A grizzled carle in such-like gear,
And then two maidens poorly clad
Though each a silver chaplet had
And round her neck a golden chain:
And last two varlets led a wain
Drawn by white oxen well bedight
With oaken boughs and lilies white;
Therein there lay a cask of wine
And baskets piled with bread full fine,
And flesh of hart and roe and hare;
And in the midst upon a chair
Done over with a cloth of gold
There sat a man exceeding old
With long white locks: and clad was he
No other than his company
Save that a golden crown he bore
Full fairly fashioned as of yore,
And with a sword was girt about
Such as few folk will see I doubt.
Right great it was: the scabbard thin
Was fashioned of a serpent's skin,
In every scale a stone of worth;
Of tooth of sea-lion of the north
The cross was, and the blood-boot stone
That heals the hurt the blade hath done
Hung down therefrom in silken purse:
The ruddy kin of Niblung's curse
O'er tresses of a sea-wife's hair
Was wrapped about the handle fair;
And last a marvellous sapphire stone
Amidst of the great pommel shone,
A blue flame in the forest green.
And Arthur deemed he ne'er had seen
So fair a sword: nay not when he
The wonder of the land-locked sea
Drew from the stone that Christmas-tide.
Now forth the forest youth did ride,
Leapt down beside the King, and spake:
""King Arthur for thy greatness' sake
My grandsire comes to look on thee;
My father standeth here by me;
These maidens are my sisters twain;
My brethren draw out from the wain
Somewhat thy woodland cheer to mend.""
Thereat his sire the knee did bend
Before the King, who o'er the brown
Rough sleeve of the man's homespun gown
Beheld a goodly golden ring:
And fell to greater marvelling
When he beheld how fine and fair
The woodman's kneeling sisters were.
And all folk thereby deemed in sooth
That (save indeed the first seen youth)
These folk were nobler e'en than those
Of Arthur's wonder of a house.
But now the elder drew anigh,
By half a head was he more high
Than Arthur or than Lancelot,
Nor had eld bent him: he kneeled not
Before the King, but smiling took
His hands in hands that nowise shook;
And the King joyed as he who sees
One of his fathers' images
Stand glad before him in a dream.
Then down beside the bubbling stream
They sat together, and the King
Was loth to fall a questioning;
So first the elder spake and said:
""It joys me of thy goodlihead
O great king of our land; and though
Our blood within thee doth not flow,
And I who was a king of yore
May scarcely kneel thy feet before,
Yet do I deem thy right the best
Of all the kings who rule the West.
I love thy name and fame: behold,
King Arthur, I am grown so old
In guilelessness, the Gods have sent,
Be I content or uncontent,
This gift unto my latter days
That I may see as through a haze
The lives and deeds of days to come:
I laugh for some, I weep for some --
I neither laugh nor weep for thee,
But trembling through the clouds I see
Thy life and glory to the end;
And how the sweet and bitter blend
Within the cup that thou must drink.
Good is it that thou shalt not shrink
From either: that the afterdays
Shall still win glory from thy praise
And scarce believe thee laid asleep
When o'er thy deeds the days lie deep.""
He ceased but his old lips moved still,
As though they would the tale fulfil
His heart kept secret: Arthur's eyes
Gleamed with the pride that needs would rise
Up from his heart, and low he said:
""I know the living by the dead
I know the future by the past.""
Wise eyes and kind the elder cast
Upon him; while a nameless fear
Smote to the heart of Guenevere,
And, fainting there, was turned to love:
And thence a nameless pain did move
The noble heart of Lancelot,
The store of longing unforgot.
-- And west a little moved the sun
And noon began, and noon was done.
But as the elder's grey eyes turned
On Guenevere's, her sweet face burned
With sweet shame; as though she knew
He read her story through and through.
Kindly he looked on her and said:
""O Queen, the chief of goodlihead,
Be blithe and glad this day at least
When in my fathers' house ye feast:
For surely in their ancient hall
Ye sit now: look, there went the wall
Where yon turf ridge runs west-away:
Time was I heard my grand-dame say
She saw this stream run bubbling down
The hall-floor shut in trench of stone;
Therein she washed her father's cup
That last eve e'er the fire went up
O'er ridge and rafter and she passed
Betwixt the foeman's spears the last
Of all the women, wrapping round
This sword the gift of Odin's ground.""
He shook the weapon o'er his knee,
Thereon gazed Arthur eagerly.
""Draw it, my lord,"" quoth Guenevere,
""Of such things have we little fear
In Arthur's house."" And Lancelot rose
To look upon the treasure close.
But grimly smiled the ancient man:
""E'en as the sun arising wan
In the black sky when Heimdall's horn
Screams out and the last day is born,
This blade to eyes of men shall be
On that dread day I shall not see --""
Fierce was his old face for a while:
But once again he 'gan to smile
And took the Queen's slim lily hand
And set it on the deadly brand
Then laughed and said: ""Hold this, O Queen,
Thine hand is where God's hands have been,
For this is Tyrfing: who knows when
His blade was forged? Belike ere men
Had dwelling on the middle-earth.
At least a man's life is it worth
To draw it out once: so behold
These peace-strings wrought of pearl and gold
The scabbard to the cross that bind
Lest a rash hand and heart made blind
Should draw it forth unwittingly.""
Blithe laughed King Arthur: ""Sir,"" said he,
""We well may deem in days by gone
This sword, the blade of such an one
As thou hast been, would seldom slide
Back to its sheath unsatisfied.
Lo now how fair a feast thy kin
Have dight for us and might we win
Some tale of thee in Tyrfing's praise,
Some deed he wrought in greener days,
This were a blithesome hour indeed.""
""Sir,"" said the elder, ""little need
To pray me hereof. Please ye dine
And drink a cup of woodman's wine,
Surely meantime some tale shall stir
Within my heart of days that were.""
Then to their meat they gat and there
Feasted amid the woodland fair
The fairest folk of all the land.
Ah me when first the Queen's fair hand
Drew near the kneeling forest youth
New-wrought the whole world seemed in sooth
And nothing left therein of ill.
So at the last the Queen did fill
A cup of wine, and drank and said:
""In memory of thy fathers dead
I drink, fair lord, drink now with me
And then bethink thee presently
Of deeds that once won prize and praise
The glory of thy fathers' days.""
He drank and laughed and said,"" Nay, nay,
Keep we the peace-strings whole today.
This draught from where thy lips have been
Within mine old heart maketh green
The memory of a love full true,
The first recorded deed that drew
My fathers' house from dark to light.
If thus my grandame told aright,
A rougher place our land was then,
Quoth she, than with us living men,
And other trees were in the wood
And folk of somewhat other blood
Than ours: then were the small-eyed bears
More plenty in the woodland lairs
Than badgers now: no holiday
It was to chase the wolves away,
Yea there were folk who had to tell
Of lyngworms lying on the fell,
And fearful things by lake and fen,
And manlike shapes that were not men.
Then fay-folk roamed the woods at noon,
And on the grave-mound in the moon
Faint gleamed the flickering treasure-flame.
Days of the world that won no fame,
Yet now, quoth she, folk looking back
Across the tumult and the wrack
And swelling up of windy lies
And dull fool-fashioned cruelties,
Deem that in those days God abode
On earth and shared ill times and good
And right and wrong with that same folk
Their hands had fashioned for the yoke.
Quoth she, of such nought tells my tale,
Yet saith that such as should prevail
In those days o'er the fears of earth
Must needs have been some deal of worth,
And saith that had ye seen a kin
Who dwelt these very woods within
Them at the least ye would have told
For cousins of the Gods of old.
Amongst all these it tells of one,
The goodman's last-begotten son,
Some twenty summers old: as fair
As any flower that blossomed there
In sun and rain, and strong therewith
And lissom as a willow withe.
Now through these woods amidst of June
This youngling went until at noon
From out of the thicket his fair face
Peered forth upon this very place;
For he had been a-hunting nigh
And wearied thought a while to lie
Beside the freshness of the stream.
But lo as in a morning dream
The place was changed, for there was dight
A fair pavilion blue and white
E'en where we play, and all around
Was talk of men and diverse sound,
Tinkling of bit and neigh of steed
Clashing of arms and iron weed.
For round about the painted tent
Armed folk a many came or went,
Or on the fresh grass lay about.
Surely our youth at first had doubt
If 'twere not better to be gone
Than meet these stranger folk alone --
But wot ye well such things as these
Were new to him born mid the trees
And wild things: and he thought, Maybe
The household of the Gods I see:
Who for as many tales as I
Have heard of them, I ne'er saw nigh.
If they be men, I wotted not
That such fair raiment men had got;
They will be glad to show them then.
For one thing taught these woodland men
Whatever wisdom they let fall
Men since have won Fear nought at all.
So from the holly brake he strode
Shouldering the while his hunter's load,
A new slain roe; but there arose
To meet him half a score of those
Whom in fair words he greeted well.
Now was he clad in a sheep's fell
And at his back his quiver hung,
His woodknife on his thigh: unstrung
His bow he held in a staff's stead.
An oaken wreath was round his head
From whence his crispy locks of brown
Well nigh unto his belt hung down,
And howso frank his eyes might be
A half-frown soothly might you see
As these men handled sword or spear
And cried out, ""Hold, what dost thou here?""
""Ah,"" said he, ""then no Gods ye are.
Fear not, I shall not make you war.""
Therewith his hunting-knife he drew
And the long blade before them he threw.
Then loud they laughed; one sheathed his sword:
""Thanks, army-leader, for that word!
We are not Gods e'en as thou say'st,
Nor thou a devil of the waste
But e'en a devil's a friend belike.""
Something [of] hate hereat did strike
Unto the woodsman's unused heart,
Yet he spake softly for his part:
""What men are ye and where dwell ye?
What is the wondrous house I see?""
""In the fair southland is our home
Yet from the north as now we come,""
Said one: then with a mocking smile,
""And in our house there dwells awhile
A very Goddess of the north.
But lo you, take a thing of worth
For that thy quarry, and begone.""
But as he spake another one
Spake softly in his ear: and so
The word from this to that did go,
With laughing that seemed nowise good
Unto the dweller of the wood,
Who saying nought moved toward the tent.
But they came round him as he went
And said: ""Nay, pagan, stay thy feet;
Thou art not one our dame to greet"
43,William Ernest Henley,Invictus,"Out of the night that covers me,
Black as the Pit from pole to pole,
I thank whatever gods may be
For my unconquerable soul.
In the fell clutch of circumstance
I have not winced nor cried aloud.
Under the bludgeonings of chance
My head is bloody, but unbowed.
Beyond this place of wrath and tears
Looms but the Horror of the shade,
And yet the menace of the years
Finds, and shall find, me unafraid.
It matters not how strait the gate,
How charged with punishments the scroll.
I am the master of my fate:
I am the captain of my soul. 

Last updated July 28, 2015


Invictus Poem

Invictus is a short victorian poem by poet William Ernest Henley. It was written in 1875 and published in 1888 — originally with no title — in his first volume of poems, Book of Verses, in the section Life and Death (Echoes).
Early printings contained a dedication To R. T. H. B.—a reference to Robert Thomas Hamilton Bruce, a successful Scottish flour merchant, baker, and literary patron. The title ""Invictus"" was added by editor Arthur Quiller-Couch when the poem was included in The Oxford Book of English Verse.


4.1 stars - based on 579 reviews
  "
44,Langston Hughes,Let America Be America Again,"Let America be America again.
Let it be the dream it used to be.
Let it be the pioneer on the plain
Seeking a home where he himself is free.
(America never was America to me.)
Let America be the dream the dreamers dreamed--
Let it be that great strong land of love
Where never kings connive nor tyrants scheme
That any man be crushed by one above.
(It never was America to me.)
O, let my land be a land where Liberty
Is crowned with no false patriotic wreath,
But opportunity is real, and life is free,
Equality is in the air we breathe.
(There's never been equality for me,
Nor freedom in this ""homeland of the free."")
Say, who are you that mumbles in the dark?
And who are you that draws your veil across the stars?
I am the poor white, fooled and pushed apart,
I am the Negro bearing slavery's scars.
I am the red man driven from the land,
I am the immigrant clutching the hope I seek--
And finding only the same old stupid plan
Of dog eat dog, of mighty crush the weak.
I am the young man, full of strength and hope,
Tangled in that ancient endless chain
Of profit, power, gain, of grab the land!
Of grab the gold! Of grab the ways of satisfying need!
Of work the men! Of take the pay!
Of owning everything for one's own greed!
I am the farmer, bondsman to the soil.
I am the worker sold to the machine.
I am the Negro, servant to you all.
I am the people, humble, hungry, mean--
Hungry yet today despite the dream.
Beaten yet today--O, Pioneers!
I am the man who never got ahead,
The poorest worker bartered through the years.
Yet I'm the one who dreamt our basic dream
In the Old World while still a serf of kings,
Who dreamt a dream so strong, so brave, so true,
That even yet its mighty daring sings
In every brick and stone, in every furrow turned
That's made America the land it has become.
O, I'm the man who sailed those early seas
In search of what I meant to be my home--
For I'm the one who left dark Ireland's shore,
And Poland's plain, and England's grassy lea,
And torn from Black Africa's strand I came
To build a ""homeland of the free.""
The free?
Who said the free? Not me?
Surely not me? The millions on relief today?
The millions shot down when we strike?
The millions who have nothing for our pay?
For all the dreams we've dreamed
And all the songs we've sung
And all the hopes we've held
And all the flags we've hung,
The millions who have nothing for our pay--
Except the dream that's almost dead today.
O, let America be America again--
The land that never has been yet--
And yet must be--the land where every man is free.
The land that's mine--the poor man's, Indian's, Negro's, ME--
Who made America,
Whose sweat and blood, whose faith and pain,
Whose hand at the foundry, whose plow in the rain,
Must bring back our mighty dream again.
Sure, call me any ugly name you choose--
The steel of freedom does not stain.
From those who live like leeches on the people's lives,
We must take back our land again,
America!
O, yes,
I say it plain,
America never was America to me,
And yet I swear this oath--
America will be!
Out of the rack and ruin of our gangster death,
The rape and rot of graft, and stealth, and lies,
We, the people, must redeem
The land, the mines, the plants, the rivers.
The mountains and the endless plain--
All, all the stretch of these great green states--
And make America again!"
45,Langston Hughes,Life is fine,"I went down to the river,
I set down on the bank.
I tried to think but couldn't,
So I jumped in and sank.
I came up once and hollered!
I came up twice and cried!
If that water hadn't a-been so cold
I might've sunk and died.
But it was Cold in that water! It was cold!
I took the elevator
Sixteen floors above the ground.
I thought about my baby
And thought I would jump down.
I stood there and I hollered!
I stood there and I cried!
If it hadn't a-been so high
I might've jumped and died.
But it was High up there! It was high!
So since I'm still here livin',
I guess I will live on.
I could've died for love--
But for livin' I was born
Though you may hear me holler,
And you may see me cry--
I'll be dogged, sweet baby,
If you gonna see me die.
Life is fine! Fine as wine! Life is fine!"
46,Robert Frost,Mending Wall,"Something there is that doesn't love a wall,
That sends the frozen-ground-swell under it,
And spills the upper boulders in the sun;
And makes gaps even two can pass abreast.
The work of hunters is another thing:
I have come after them and made repair
Where they have left not one stone on a stone,
But they would have the rabbit out of hiding,
To please the yelping dogs.  The gaps I mean,
No one has seen them made or heard them made,
But at spring mending-time we find them there.
I let my neighbor know beyond the hill;
And on a day we meet to walk the line
And set the wall between us once again.
We keep the wall between us as we go.
To each the boulders that have fallen to each.
And some are loaves and some so nearly balls
We have to use a spell to make them balance:
'Stay where you are until our backs are turned!'
We wear our fingers rough with handling them.
Oh, just another kind of outdoor game,
One on a side.  It comes to little more:
There where it is we do not need the wall:
He is all pine and I am apple orchard.
My apple trees will never get across
And eat the cones under his pines, I tell him.
He only says, 'Good fences make good neighbors.'
Spring is the mischief in me, and I wonder
If I could put a notion in his head:
'Why do they make good neighbors?  Isn't it
Where there are cows?  But here there are no cows.
Before I built a wall I'd ask to know
What I was walling in or walling out,
And to whom I was like to give offense.
Something there is that doesn't love a wall,
That wants it down.'  I could say 'Elves' to him,
But it's not elves exactly, and I'd rather
He said it for himself.  I see him there
Bringing a stone grasped firmly by the top
In each hand, like an old-stone savage armed.
He moves in darkness as it seems to me,
Not of woods only and the shade of trees.
He will not go behind his father's saying,
And he likes having thought of it so well
He says again, 'Good fences make good neighbors.'"
47,Shel Silverstein,Messy Room,"Whosever room this is should be ashamed!
His underwear is hanging on the lamp.
His raincoat is there in the overstuffed chair,
And the chair is becoming quite mucky and damp.
His workbook is wedged in the window,
His sweater's been thrown on the floor.
His scarf and one ski are beneath the TV,
And his pants have been carelessly hung on the door.
His books are all jammed in the closet,
His vest has been left in the hall.
A lizard named Ed is asleep in his bed,
And his smelly old sock has been stuck to the wall.
Whosever room this is should be ashamed!
Donald or Robert or Willie or--
Huh? You say it's mine? Oh, dear,
I knew it looked familiar!"
48,William Butler Yeats,No Second Troy,"Why should I blame her that she filled my days
With misery, or that she would of late
Have taught to ignorant men most violent ways,
Or hurled the little streets upon the great.
Had they but courage equal to desire?
What could have made her peaceful with a mind
That nobleness made simple as a fire,
With beauty like a tightened bow, a kind
That is not natural in an age like this,
Being high and solitary and most stern?
Why, what could she have done, being what she is?
Was there another Troy for her to burn?"
49,Walt Whitman,O Captain! My Captain!,"1
O CAPTAIN! my Captain! our fearful trip is done;
The ship has weather'd every rack, the prize we sought is won;
The port is near, the bells I hear, the people all exulting,
While follow eyes the steady keel, the vessel grim and daring:
But O heart! heart! heart!
O the bleeding drops of red,
Where on the deck my Captain lies,
Fallen cold and dead. 
2
O Captain! my Captain! rise up and hear the bells;
Rise up-for you the flag is flung-for you the bugle trills;
For you bouquets and ribbon'd wreaths-for you the shores a-crowding;
For you they call, the swaying mass, their eager faces turning;
Here Captain! dear father!
This arm beneath your head;
It is some dream that on the deck,
You've fallen cold and dead. 
3
My Captain does not answer, his lips are pale and still;
My father does not feel my arm, he has no pulse nor will;
The ship is anchor'd safe and sound, its voyage closed and done;
From fearful trip, the victor ship, comes in with object won;
Exult, O shores, and ring, O bells!
But I, with mournful tread,
Walk the deck my Captain lies,
Fallen cold and dead."
